No,Country (EN),Country (KR),Service Name (EN),Service Name (Native),URL,Type,Content Focus,Status,Category,In Original List,Notes
135,Slovakia,슬로바키아,Voyo,Voyo,https://voyo.markiza.sk,SVOD,"Markíza films/series/originals, sport",Active,Commercial OTT,Added,Slovak Voyo survives separately (Czech Voyo merged into Oneplay).
136,Slovakia,슬로바키아,STVR,Slovenská televízia a rozhlas,https://www.stvr.sk,Free (public),Slovak public TV + archive,Active (formerly RTVS),Public Broadcaster,Added,Rebranded RTVS→STVR (Jul 2024).
137,South Korea,대한민국,WATCHA,왓챠,https://watcha.com,SVOD,"Curated film/drama/anime, cinephile recommendations",Access-restricted (in receivership),Arthouse / Curated,Added,In court receivership since Aug 2025; still operating but future uncertain. MAU fell sharply.
138,South Korea,대한민국,Wavve,웨이브,https://www.wavve.com,SVOD,Broadcaster (KBS/MBC) + Korean film/series,Merging,Commercial OTT,Added,TVING–Wavve merger approved 2025; integration into 2026.
139,South Korea,대한민국,TVING,티빙,https://www.tving.com,SVOD + AVOD,"CJ ENM/JTBC series, films, sports, originals",Active (merging),Commercial OTT,Added,Korea's #1 domestic OTT. Merging with Wavve.
140,South Korea,대한민국,Coupang Play,쿠팡플레이,https://www.coupangplay.com,SVOD + AVOD,"Originals, films, sports, HBO/Max titles",Active,Commercial OTT,Added,Bundled with Coupang Wow membership.
141,South Korea,대한민국,Naver Series On,네이버 시리즈온,https://serieson.naver.com,TVOD,Movie/TV purchase & rental,Defunct (sales ended 18 Dec 2024),Commercial OTT,Added,The original source's KR-TVOD reference point — but it shut down sales Dec 2024.
142,South Korea,대한민국,Laftel,라프텔,https://laftel.net,SVOD,"Anime (3,000+ titles, incl. anime films)",Active,Commercial OTT,Added,Korea's #1 anime OTT.
143,South Korea,대한민국,KMDb VOD (Korean Film Archive / KOFA),한국영화데이터베이스 VOD (한국영상자료원),https://www.kmdb.or.kr/vod,Free (public),"~680 classic Korean films, free streaming",Active,National Film Archive / Cinematheque,Added,Operated by KOFA. All VOD free since 2018. Korea's classic-film VOD channel.
144,South Korea,대한민국,Korean Classic Film (KOFA YouTube),한국고전영화 (한국영상자료원 유튜브),https://www.youtube.com/KoreanFilm,AVOD / Free,"100+ classic Korean films (1930s–1990s), Eng subs",Active,National Film Archive / Cinematheque,Added,"KOFA's free YouTube channel; English subtitles, some 4K remasters."
145,Japan,일본,U-NEXT,ユーネクスト,https://video.unext.jp,SVOD + TVOD,"Movies, anime, J-drama, Asian drama, classics",Active,Commercial OTT,Original,#2 SVOD in Japan; ~440k titles. Strong Kurosawa/Ozu classics.
146,Japan,일본,Rakuten TV,楽天TV,https://rakuten.tv/jp,TVOD + AVOD (FAST),"Movies, TV, FAST channels",Active,Commercial OTT,Original,Brand consolidated under rakuten.tv.
147,Japan,일본,DMM TV,DMM TV,https://tv.dmm.com,SVOD + TVOD,"Anime (#1 for new anime), film, drama, variety",Active,Commercial OTT,Added,¥550/mo; ~170k titles.
148,Japan,일본,JFF Theater / JFF+,JFFシアター,https://jff.jpf.go.jp,Free (non-profit),"Curated Japanese film & indie cinema, multilingual subs",Active,National Cinema / Film Institute,Added,"Japan Foundation; worldwide free, 19-language subs."
149,Japan / Multi,일본(다국가),Rakuten Viki,Rakuten Viki,https://www.viki.com,AVOD + SVOD,Pan-Asian drama/film with fan subtitles,Active,Commercial OTT,Added,Rakuten-owned; global.
150,Japan,일본,Lemino,Lemino,https://lemino.docomo.ne.jp,AVOD + SVOD,"Films, anime, drama, live sport/music",Active,Commercial OTT,Added,NTT Docomo (2023). Free tier + Premium ¥990.
151,Japan,일본,ABEMA,ABEMA,https://abema.tv,AVOD / Free,"Linear + on-demand, anime, originals",Active,Commercial OTT,Added,CyberAgent; 30M+ weekly users.
152,Japan,일본,Hulu Japan,Hulu,https://www.hulu.jp,SVOD,"J-drama, anime, films, sport",Active,Commercial OTT,Added,HJ Holdings / Nippon TV (separate from US Hulu).
153,Japan,일본,National Film Archive of Japan (NFAJ),国立映画アーカイブ,https://www.nfaj.go.jp/english/onlineservice/,Free (public),"Meiji-era films, early Japanese animation, historical footage",Limited online,National Film Archive / Cinematheque,Added,Free online collections; full features on-site only.
154,China,중국,Tencent Video,腾讯视频,https://v.qq.com,SVOD + AVOD,"C-drama, film, variety, anime",Active / Access-restricted,Commercial OTT,Original,Mainland-focused; geo+payment barriers abroad. Intl = WeTV.
155,China,중국,iQIYI,爱奇艺,https://www.iq.com,SVOD + AVOD,"C-drama, film, variety",Active,Commercial OTT,Original,iqiyi.com = mainland (geo-locked); iq.com = international.
156,China,중국,Youku,优酷,https://www.youku.com,SVOD + AVOD,"Films, drama, variety",Active / Access-restricted,Commercial OTT,Added,Alibaba-owned; one of China's 'big three'.
157,China,중국,Mango TV,芒果TV,https://www.mgtv.com,SVOD + AVOD,"Drama, variety, reality",Active / Access-restricted,Commercial OTT,Added,State-backed (Hunan TV); ~130M MAU.
158,China,중국,Bilibili,哔哩哔哩,https://www.bilibili.com,AVOD / Free,"Anime, UGC, docs, licensed film/TV",Active / Access-restricted,Commercial OTT,Added,ACG hub; 130M+ MAU.
159,China,중국,China Film Archive (China Film Art Research Center),中国电影资料馆,https://www.cfa.org.cn/,TVOD + some Free,Digitally restored Chinese classics,Limited online,National Film Archive / Cinematheque,Added,"Public streaming via official app; domestic-oriented, no English UI."
160,Hong Kong,홍콩,myTV SUPER,myTV SUPER,https://www.mytvsuper.com,SVOD + AVOD,"TVB dramas, HK film, variety, news, FAST",Active / Access-restricted,Commercial OTT,Original,TVB-owned; HK/Macau only.
161,Hong Kong,홍콩,Now E,Now E,https://www.nowe.com,AVOD + TVOD,"Movies, drama, sports",Active,Commercial OTT,Added,PCCW Media; HK-only.
162,Hong Kong,홍콩,Viu,Viu,https://www.viu.com,SVOD + AVOD,"Pan-Asian/Korean/regional dramas, Viu Originals",Active,Commercial OTT,Added,PCCW (HK origin); ~15.5M paid subs.
163,Hong Kong,홍콩,Hong Kong Film Archive (HKFA),香港電影資料館,https://www.filmarchive.gov.hk,Free (public),"Filmmakers' oral history, seminars, online exhibitions",Limited online,National Film Archive / Cinematheque,Added,LCSD. Features on-site only; online = supplementary material.
164,Taiwan,대만,friDay Video,friDay影音,https://video.friday.tw,SVOD + TVOD + AVOD,"Theatrical film, K/J/Taiwan/C-drama, anime",Active,Commercial OTT,Original,Far EasTone-owned; Taiwan #1 domestic. Taiwan-only.
165,Taiwan,대만,CATCHPLAY+,CATCHPLAY+,https://www.catchplay.com,SVOD + TVOD,"Theatrical film, originals, Asian drama, Hollywood",Active,Commercial OTT,Added,Taiwan-HQ'd; also ID & SG.
166,Taiwan,대만,LINE TV,LINE TV,https://tv.line.me,AVOD + SVOD,"Taiwan dramas, variety, originals",Active (Taiwan only),Commercial OTT,Added,—
167,Taiwan,대만,myVideo,myVideo (影音隨看),https://www.myvideo.net.tw,SVOD + TVOD,"Movies, dramas, anime, live sports",Active (Taiwan only),Commercial OTT,Added,Taiwan Mobile (Fubon).
168,Taiwan,대만,Hami Video,Hami Video,https://hamivideo.hinet.net,SVOD + TVOD,"Live TV, sports, movies, dramas",Active (Taiwan only),Commercial OTT,Added,Chunghwa Telecom; #1 domestic OTT by paid subs.
169,Taiwan,대만,Taiwan Film and Audiovisual Institute (TFAI),國家電影及視聽文化中心,https://player.tfai.org.tw/en/watchnow,Free (public),"Restored Taiwanese classics, newsreels, TFAI content",Limited online,National Film Archive / Cinematheque,Added,Most features on-site only; online = newsreels + TFAI's own content.
170,India,인도,Eros Now,Eros Now,https://erosnow.com,SVOD,"Bollywood film, originals, music",Active (financially distressed),Commercial OTT,Original,Operational in 2026; parent rebranded to Eros Media World.
171,India,인도,JioHotstar (formerly Disney+ Hotstar),JioHotstar,https://www.jiohotstar.com,SVOD + AVOD,"Bollywood, regional, Hollywood, sports",Rebranded (Feb 2025),Commercial OTT,Original,Merged with JioCinema → JioHotstar 14 Feb 2025. hotstar.com redirects.
172,India,인도,aha,aha,https://www.aha.video,SVOD + AVOD,"Telugu & Tamil film, originals, live TV",Active,Commercial OTT,Added,Regional South Indian.
173,India,인도,Sun NXT,Sun NXT,https://www.sunnxt.com,SVOD,South Indian film/TV (4 languages),Active,Commercial OTT,Added,Sun TV Network.
174,India,인도,hoichoi,hoichoi,https://www.hoichoi.tv,SVOD,"Bengali film, series, originals",Active,Commercial OTT,Added,SVF Entertainment.
175,India,인도,ZEE5,ZEE5,https://www.zee5.com,SVOD + AVOD,"Indian films, series, multilingual",Active,Commercial OTT,Added,Zee Entertainment.
176,India,인도,SonyLIV,SonyLIV,https://www.sonyliv.com,SVOD + AVOD,"Indian films, originals, sport",Active,Commercial OTT,Added,Sony Pictures Networks India.
177,India,인도,Cinemas of India (NFDC),Cinemas of India (NFDC),https://www.cinemasofindia.com,Free + TVOD + SVOD,"Restored Indian parallel/art cinema (Ray, Benegal)",Active,National Cinema / Film Institute,Added,NFDC. Also a Prime Video add-on (₹199/yr).
178,India,인도,Films Division (NFDC),फिल्म्स डिवीजन,https://www.youtube.com/user/FilmsDivision,Free (gov),"Govt documentaries, shorts, animation, newsreels 1948–",Active,National Film Archive / Cinematheque,Added,Merged into NFDC (2023). Free; India's key public archive stream.
179,Thailand,태국,GagaOOLala,GagaOOLala,https://www.gagaoolala.com,SVOD + AVOD,LGBTQ+ / BL / GL film & series (pan-Asian),Active,Commercial OTT,Original,Taiwan-HQ'd; 248 territories.
180,Thailand,태국,TrueID,TrueID,https://trueid.net,AVOD + SVOD + TVOD,"Thai + regional content, sports",Active,Commercial OTT,Added,True Digital Group (CP Group). Huge in Thailand.
181,Thailand,태국,WeTV,WeTV,https://wetv.vip,AVOD + SVOD,"Chinese/Korean/Thai dramas, Thai originals",Active,Commercial OTT,Added,Tencent Video international.
182,Thailand,태국,Film Archive (Public Organization) Thailand,หอภาพยนตร์ (องค์การมหาชน),https://www.youtube.com/user/FilmArchiveThailand,Free (public),"Restored Thai classics, earliest Thai films, newsreels",Active,National Film Archive / Cinematheque,Added,YouTube is the public venue; hundreds of restored films free.
183,Philippines,필리핀,iWant (formerly iWantTFC),iWant,https://www.iwanttfc.com,AVOD + SVOD,"Filipino film, Kapamilya drama, live channels","Rebranded (iWantTFC→iWant, Jul 2025)",Commercial OTT,Original,ABS-CBN; relaunched Jul 2025 with 4K.
184,Philippines,필리핀,VMX (formerly Vivamax),VMX,https://www.vivamax.net,SVOD,Filipino original films & series,"Active (Vivamax→VMX, Oct 2024)",Commercial OTT,Added,Viva Communications.
185,Philippines,필리핀,Cignal Play,Cignal Play,https://cignalplay.com,SVOD + TVOD,"Live TV, local + intl hits, microdrama",Active,Commercial OTT,Added,Cignal TV (MediaQuest/PLDT).
186,Philippines,필리핀,JuanFlix (FDCP),JuanFlix,https://juanflix.com.ph,TVOD / SVOD,"Restored Filipino classics (PFA), indie & festival films",Limited – relaunching early 2026,National Cinema / Film Institute,Added,FDCP's streaming arm. Paused Sep 2025; verify live before use.
187,Indonesia,인도네시아,Bioskop Online,Bioskop Online,https://www.bioskoponline.com,TVOD,"Indonesian cinema, originals, docs, concerts",Active,Commercial OTT,Original,Visinema-owned; pay-per-view.
188,Indonesia,인도네시아,Vidio,Vidio,https://www.vidio.com,SVOD + AVOD,"Indonesian originals, film, live sports",Active,Commercial OTT,Added,#1 OTT in Indonesia (2025).
189,Indonesia,인도네시아,KlikFilm,KlikFilm,https://www.klikfilm.com,SVOD + TVOD,"Indonesian box-office film, festival, Asian cinema",Active,Commercial OTT,Added,Falcon Pictures-linked. Domain is .com.
190,Indonesia,인도네시아,Vision+,Vision+,https://www.visionplus.id,AVOD + SVOD,"Indonesian originals, live sport, 60+ channels",Active,Commercial OTT,Added,MNC Group.
191,Indonesia,인도네시아,IndonesianaTV,Indonesiana.TV,https://indonesiana.tv,Free (gov OTT),Indonesian arts/culture + restored classic films,Active,National Cinema / Film Institute,Added,"Directorate General of Culture. 1,500+ titles incl. restored national classics."
192,Vietnam,베트남,Galaxy Play,Galaxy Play,https://galaxyplay.vn,SVOD + TVOD,"Vietnamese film/series, Asian & Hollywood, anime",Active,Commercial OTT,Original,Galaxy Entertainment; ~11M users.
193,Vietnam,베트남,FPT Play,FPT Play,https://fptplay.vn,SVOD + TVOD + AVOD,"Vietnamese film/series, anime, ~120 TV channels, sports",Active,Commercial OTT,Added,FPT Telecom; ~39% Vietnam OTT share (#1).
194,Vietnam,베트남,VieON,VieON,https://vieon.vn,SVOD + AVOD,"Vietnamese + Asian films, series, originals",Active,Commercial OTT,Added,DatVietVAC-owned; largest domestic streamer.
195,Vietnam,베트남,VTV Go,VTV Go,https://vtvgo.vn,Free (public),"National TV channels, VTV dramas, news, sport",Active,Public Broadcaster,Added,State broadcaster VTV.
196,Vietnam,베트남,Danet,DANET,https://danet.vn,TVOD + SVOD + AVOD,"Hollywood + Vietnamese films, K-dramas",Active,Commercial OTT,Added,Operated by BHD.
197,Vietnam,베트남,Vietnam Film Institute,Viện Phim Việt Nam,https://www.youtube.com/channel/UCOgqAN0aaPzIO7c5g-GJtGQ,Free (public),"Archival Vietnamese feature, documentary & animated films",Limited online,National Film Archive / Cinematheque,Added,National archive (VFI). Public viewing via YouTube.
198,Malaysia,말레이시아,tonton,tonton,https://www.tonton.com.my,AVOD + SVOD,"Malay drama, film, live TV (Media Prima)",Active,Commercial OTT,Original,Free tier + TontonUp.
199,Malaysia,말레이시아,sooka,sooka,https://sooka.my,AVOD + SVOD,"Live sport (EPL, F1), Malay/K/Chinese dramas",Active (Malaysia only),Commercial OTT,Added,Astro. #1 sports app in Malaysia.
200,Malaysia,말레이시아,Astro GO,Astro GO,https://astrogo.astro.com.my,SVOD (TV Everywhere),"Astro originals, series, films, live sport",Active (Malaysia only),Commercial OTT,Added,EPL rights 2025-28.
201,Singapore,싱가포르,National Archives of Singapore – Audiovisual,Arkib Negara Singapura,https://www.nas.gov.sg/archivesonline/audiovisual_records/,Free (gov),"Singapore newsreels, Ministry of Culture docs, home movies",Active,National Film Archive / Cinematheque,Added,"Free clips worldwide; mostly segments, not full features."
202,Singapore,싱가포르,Asian Film Archive – AFA Channel (Viddsee),Asian Film Archive,https://www.viddsee.com/channel/afa,Free (AVOD),Curated SE Asian / Singaporean short films,Limited online,National Film Archive / Cinematheque,Added,Online viewing via Viddsee + YouTube; features screened theatrically.
203,Iran,이란,Filimo,فیلیمو,https://www.filimo.com,SVOD,"Iranian & international film/series, originals",Active / Access-restricted,Commercial OTT,Original,~50%+ domestic share (SabaIdea). Geo/payment blocked outside Iran; diaspora arm 'Televika'.
204,Iran,이란,Namava,نماوا,https://www.namava.ir,SVOD,Iranian + international film/series,Access-restricted,Commercial OTT,Added,Filimo rival (Shatel). Blocked by judiciary May 2025; volatile.
205,Iran,이란,Filmnet,فیلم‌نت,https://www.filmnet.ir,SVOD,Iranian + international film/series,Active / Access-restricted,Commercial OTT,Added,Third major Iranian SVOD.
206,Turkey,터키,Max (formerly BluTV),Max,https://www.max.com,SVOD,Turkish originals + WBD/HBO catalog,Rebranded/Defunct as BluTV (15 Apr 2025),Commercial OTT,Original,"BluTV dissolved 15 Apr 2025, merged into Max."
207,Turkey,터키,tabii (TRT),tabii,https://www.tabii.com,AVOD (Free) + SVOD,"Turkish series/film, TRT originals; global",Active,Public Broadcaster,Added,TRT public broadcaster. Free basic tier.
208,Turkey,터키,puhutv,puhutv,https://www.puhutv.com,AVOD (Free),Turkish series/film (Star TV/Show TV archives),Active,Commercial OTT,Added,"Free, ad-supported."
209,Turkey,터키,Gain,Gain,https://www.gain.tv,SVOD,"Turkish originals, film, series",Active,Commercial OTT,Added,Gain Medya.
210,Turkey,터키,Exxen,Exxen,https://www.exxen.com,SVOD,"Turkish originals, films, sport",Active,Commercial OTT,Added,Acun Medya.
211,Turkey,터키,TOD,TOD,https://www.tod.tv,SVOD,Sport + entertainment,Active,Commercial OTT,Added,beIN Media Group; MENA + Turkey.
212,Turkey,터키,Sinematek.tv,Sinematek – Dijital Sinema Kütüphanesi,https://sinematek.tv/,Free (non-profit),Turkish film heritage + cinema magazines,Active,National Film Archive / Cinematheque,Added,Digital revival of the Turkish Sinematek (1965–1980).
213,Egypt,이집트,Shahid (MBC Shahid),شاهد,https://shahid.mbc.net,SVOD + AVOD,"Largest Arabic catalog: Egyptian/Arab film, series",Active,Commercial OTT,Original,"shahid.mbc.net (not shahid.net). MBC-owned, MENA #1."
214,Egypt,이집트,WATCH IT,واتش إت,https://www.watchit.com,SVOD,"Classic + modern Egyptian film/series, originals",Active,Commercial OTT,Added,United Media Services. Strongest Egypt-native pick.
215,Egypt,이집트,Cimatheque – Alternative Film Centre,سيماتيك,https://cimatheque.org/,"Free (non-profit), partial","Egyptian/Arab film heritage, rare/amateur films",Limited online,National Film Archive / Cinematheque,Added,NGO archive being digitized; partial public VOD.
216,MENA (regional),중동·북아프리카,OSN+,OSN+,https://www.osnplus.com,SVOD,"Hollywood + Arabic films, series",Active,Commercial OTT,Added,Leading MENA streamer.
217,MENA (regional),중동·북아프리카,Starz Arabia (StarzPlay),Starz Arabia,https://www.starzplayarabia.com,SVOD,"Hollywood films, series, sport",Active,Commercial OTT,Added,Lionsgate/Starz JV; 3M+ subs across 20 MENA countries.
218,MENA (regional),중동·북아프리카,Weyyak,وياك,https://weyyak.com,AVOD (Free),Arabic + Bollywood films/series,Active,Commercial OTT,Added,"Zee-owned; free ad-supported, 16,000+ hrs."
219,Saudi Arabia,사우디아라비아,Aloula,الأولى,https://aloula.sba.sa,Free (public),"Saudi/Gulf series, news, drama; 6 live channels",Active,Public Broadcaster,Added,Saudi Broadcasting Authority public platform.
220,Israel,이스라엘,Kan 11 / Kan Box,כאן 11,https://www.kan.org.il,Free (public),"Public broadcaster: TV, film, VOD library",Active,Public Broadcaster,Original,"IPBC. Free, ad-free."
221,Israel,이스라엘,IZZY (Stream Israel),איזי,https://streamisrael.tv,SVOD,Israeli movies/TV/docs (diaspora),Active,Commercial OTT,Added,Worldwide EXCEPT Israel (rights). Best for Israeli film abroad.
222,Israel,이스라엘,Yes+ / STING TV,yes+ / סטינג,https://www.sting.tv,SVOD,"Israeli + international film/series, originals",Active,Commercial OTT,Added,Yes (Israel)'s OTT; domestic.
223,Israel,이스라엘,Israel Film Archive – Jerusalem Cinematheque,ארכיון הסרטים הישראלי – סינמטק ירושלים,https://jfc.org.il/en/,Free + TVOD,"Israeli/Yishuv heritage: features, docs, newsreels",Active,National Film Archive / Cinematheque,Added,"Free historical footage (worldwide) + paid features (~$4.99, often geo-blocked to Israel)."
224,Israel,이스라엘,Steven Spielberg Jewish Film Archive,ארכיון הסרטים היהודיים,https://en.jfa.huji.ac.il/,Free (non-profit),"Jewish/Zionist documentary film, pre-state footage",Active,National Film Archive / Cinematheque,Added,Free 'Virtual Cinema' — 600+ films streamable.
225,Israel / USA,이스라엘/미국,Israel Film Center Stream,Israel Film Center Stream,https://israelfilmcenterstream.org/,TVOD + SVOD,"Israeli & Jewish-interest features, docs, shorts",Active,Arthouse / Curated,Added,Carole Zabar Center / JCC Manhattan. US-focused diaspora catalog.
226,Palestine,팔레스타인,Palestine Film Institute – Film Platform,المؤسسة الفلسطينية للفيلم,https://www.palestinefilminstitute.org/en/pfp/archive,Free (non-profit),"Palestinian cinema: features, docs, shorts",Limited online,National Cinema / Film Institute,Added,"'Film of the Week' + curated free series. Rotating, not full library."
227,Nigeria,나이지리아,IROKOtv,IROKOtv,https://irokotv.com,TVOD/SVOD (historic),Nollywood film/series,DEFUNCT (exited Nigeria ~2023; wound down 2025),Commercial OTT,Original,Paid-streaming model failed. Use AfroLandTV instead.
228,Nigeria / Africa (diaspora),나이지리아/아프리카,AfroLandTV,AfroLandTV,https://www.afrolandtv.com,AVOD (Free),Nollywood + Black/African diaspora film/TV,Active,Commercial OTT,Added,"Free, ad-supported."
229,South Africa,남아프리카공화국,Showmax,Showmax,https://www.showmax.com,SVOD (historic),"African + Peacock/Sky content, originals, sport",DEFUNCT (subs ended 1 Apr 2026; app closed 30 Apr 2026),Commercial OTT,Original,Canal+/MultiChoice shut it down; content moved to DStv Stream.
230,Africa (Francophone + SA),아프리카(프랑스어권·남아공),Canal+ (myCANAL),Canal+ / myCANAL,https://www.canalplus.com,SVOD,"Films, series, sport, African content",Active,Commercial OTT,Added,Replacing defunct Showmax across MultiChoice/DStv territories (2026). 30+ countries.
231,Algeria,알제리,Archives of the Algerian Cinematheque,أرشيف السينماتيك الجزائرية,https://www.youtube.com/@lesarchivesdelacinemathequ6771,Free (public),"Algerian/Arab/foreign film heritage, restored classics",Active,National Film Archive / Cinematheque,Added,Algerian Cinematographic Center (CAC). Full heritage films free on YouTube.
232,Morocco,모로코,SNRT Forja,فرجة,https://snrt.ma,Free (public),"Moroccan-made films/series/docs (4,000+ hrs)",Active,Public Broadcaster,Added,Forja VOD platform launched 2024.
233,Senegal,세네갈,Artfilms (Artfilms-Digital),Artfilms,https://artfilms-digital.com,SVOD / Educational (institutional),Arts/documentary/film-studies library (incl. Sembène),Active — MIS-ATTRIBUTED to Senegal,Library / Educational,Original,"Australia-based educational library, NOT a Senegalese consumer platform."
234,Kenya,케냐,Viusasa,Viusasa,https://viusasa.com,AVOD + SVOD,Kenyan/Swahili local content,Active,Commercial OTT,Added,Royal Media (Citizen TV).
235,Pakistan,파키스탄,Tamasha,تماشا,https://tamashaweb.com,AVOD + SVOD,Pakistan's largest OTT; cricket/PSL + VOD,Active,Commercial OTT,Added,By Jazz/VEON.
236,Pakistan,파키스탄,Urduflix,اردوفلکس,https://urduflix.com,SVOD,"Pakistani dramas, films, originals",Active,Commercial OTT,Added,Pakistan's 'Netflix' for originals.
237,Bangladesh,방글라데시,Chorki,চরকি,https://www.chorki.com,SVOD,"Bangla originals, films, web series",Active,Commercial OTT,Added,Backed by Prothom Alo/Transcom.
238,Bangladesh,방글라데시,Bongo,বঙ্গ,https://www.bongobd.com,AVOD + SVOD,"Bangla movies, series, live TV",Active,Commercial OTT,Added,First Bangladeshi OTT (2013).
239,Bangladesh,방글라데시,Toffee,টফি,https://toffeelive.com,Free (AVOD),"125+ live channels, sport",Active,Commercial OTT,Added,By Banglalink.
240,Bangladesh,방글라데시,Bangladesh Film Archive,বাংলাদেশ ফিল্ম আর্কাইভ,https://www.youtube.com/c/BangladeshFilmArchive,Free (gov),"Newsreels, docs, 1971 Liberation War footage, preserved films",Limited online,National Film Archive / Cinematheque,Added,National archive (est. 1978). YouTube official outlet.
241,Sri Lanka,스리랑카,HitFlix,HitFlix,https://www.slt.lk/en/hitflix,SVOD + AVOD,"Sri Lankan movies, TV, anime, docs",Active,Commercial OTT,Added,State telecom SLT-Mobitel.
242,Australia,호주,Stan,Stan,https://www.stan.com.au,SVOD,General entertainment + Australian films/series,Active,Commercial OTT,Original,Nine Entertainment. Source URL was a fake Google link; corrected.
243,Australia,호주,SBS On Demand,SBS On Demand,https://www.sbs.com.au/ondemand,AVOD (Free),World / foreign-language cinema + Australian indie,Active,Public Broadcaster,Added,Top regional pick. Free; 'SBS World Movies'. AU-only.
244,Australia,호주,ABC iview,ABC iview,https://iview.abc.net.au,Free (public),Australian public-broadcaster film/TV/docs,Active,Public Broadcaster,Added,Free (ABC). AU-only.
245,Australia,호주,Beamafilm,Beamafilm,https://www.beamafilm.com,SVOD / AVOD,Indie + documentary + Australian film,Active,Arthouse / Curated,Added,Free via many AU library cards.
246,Australia,호주,DocPlay,DocPlay,https://www.docplay.com,SVOD,Documentary (Australian/world),Active,Arthouse / Curated,Added,Madman-owned doc specialist.
247,Australia,호주,australianscreen (ASO),Australian Screen Online,https://aso.gov.au,Free (public),"Australian features, docs, TV, newsreels (~100 years)",Active,National Film Archive / Cinematheque,Added,"NFSA-operated. URL changed: australianscreen.com.au → aso.gov.au. Mostly clips/excerpts, worldwide."
248,Australia,호주,NFSA Player,NFSA Player,https://player.nfsa.gov.au,TVOD,Curated full titles from the NFSA collection,Active,National Film Archive / Cinematheque,Added,Rentals from ~$2.99. GEO-BLOCKED to Australia only.
249,Australia,호주,NFSA – free online collection,National Film and Sound Archive of Australia,https://www.nfsa.gov.au/collection,Free (public),"Curated collections, full docs (Film Australia)",Active,National Film Archive / Cinematheque,Added,Hundreds of hours free worldwide; NFSA Films YouTube hosts full titles.
250,New Zealand,뉴질랜드,NZ On Screen,NZ On Screen,https://www.nzonscreen.com,Free (public/non-profit),"NZ film/TV/music-video heritage archive (4,500+ titles)",Active,National Film Archive / Cinematheque,Original,Funded by NZ On Air. Free worldwide.
251,New Zealand,뉴질랜드,TVNZ+,TVNZ+,https://www.tvnz.co.nz,AVOD (Free),"NZ + intl TV/film, incl. Te Ao Māori section",Active,Public Broadcaster,Added,Best free NZ streamer.
252,New Zealand,뉴질랜드,MĀORI+ (Whakaata Māori),MĀORI+,https://www.maoriplus.co.nz,Free (public),"Māori film, drama, docs, kapa haka",Active,Public Broadcaster,Added,Key for indigenous NZ cinema. Free.
253,New Zealand,뉴질랜드,AroVision,AroVision,https://ondemand.arovideo.co.nz,TVOD (rent),"3,000+ festival/award films incl. NZ titles",Active,Arthouse / Curated,Added,AroVideo's curated rental platform.
254,New Zealand,뉴질랜드,Ngā Taonga Sound & Vision,Ngā Taonga,https://www.ngataonga.org.nz,Free (public),"NZ films, TV, radio, home movies; 800,000+ items from 1894",Limited online,National Film Archive / Cinematheque,Added,Free online viewing of digitized material; much is view-on-site only.
255,Iceland,아이슬란드,RÚV,Spilari RÚV / Sjónvarpið,https://www.ruv.is/sjonvarp,Free (public),"Icelandic public TV, films, catch-up",Active,Public Broadcaster,Added,Iceland's sole national flagship.
256,Bulgaria,불가리아,BNT,БНТ,https://bnt.bg,Free (public),"Bulgarian public library, films, news",Active,Public Broadcaster,Added,Full OTT launched Jan 2025.
257,Serbia,세르비아,RTS Planeta,РТС Планета,https://rtsplaneta.rs,Free (public),"Serbian public live TV/radio, catch-up, VOD",Active,Public Broadcaster,Added,EON (eon.tv) is the dominant commercial alternative.
258,Slovenia,슬로베니아,RTV 365,RTV 365,https://365.rtvslo.si,Free (public),"Slovenian public TV/radio, domestic films",Active (formerly RTV 4D),Public Broadcaster,Added,Voyo Slovenia (voyo.si) is the commercial leader.
259,Global / Multi-country,글로벌(다국가),MUBI,MUBI,https://mubi.com,SVOD + TVOD,Curated world / arthouse / festival cinema & restored classics,Active,Arthouse / Curated,Added,London-origin; ~190 countries with region-specific catalogs.
