auteur_slug,film_title,film_year,film_wikidata,rep_type,note
auteur-samuel-maoz,Foxtrot,2017,,both,
auteur-erik-matti,On the Job,2013,,both,
auteur-erik-matti,Honor Thy Father,2015,,both,
auteur-sacha-polak,Hemel,2012,,both,
auteur-sacha-polak,Dirty God,2019,,both,
auteur-nanouk-leopold,Brownian Movement,2010,,both,
auteur-nanouk-leopold,Cobain,2018,,both,
auteur-alexandre-koberidze,Let the Summer Never Come Again,2017,,both,
auteur-alexandre-koberidze,What Do We See When We Look at the Sky?,2021,,both,
auteur-nana-ekvtimishvili,In Bloom,2013,,both,
auteur-nana-ekvtimishvili,My Happy Family,2017,,both,
auteur-benedikt-erlingsson,Of Horses and Men,2013,,both,
auteur-benedikt-erlingsson,Woman at War,2018,,both,
auteur-hlynur-palmason,Winter Brothers,2017,,both,
auteur-hlynur-palmason,A White White Day,2019,,both,
auteur-hlynur-palmason,Godland,2022,,both,
auteur-valdimar-johannsson,Lamb,2021,,both,
auteur-iryna-tsilyk,The Earth Is Blue as an Orange,2020,,both,
auteur-aida-begic,Snow,2008,,defining,
auteur-aida-begic,Children of Sarajevo,2012,,both,
auteur-vaclav-marhoul,Tobruk,2008,,defining,
auteur-vaclav-marhoul,The Painted Bird,2019,,both,
auteur-alain-gomis,Tey,2012,,both,
auteur-alain-gomis,Félicité,2017,,both,
auteur-rima-das,Village Rockstars,2017,,both,
auteur-rima-das,Bulbul Can Sing,2018,,both,
auteur-maha-haj,Personal Affairs,2016,,both,
auteur-maha-haj,Mediterranean Fever,2022,,both,
auteur-cesar-diaz,Our Mothers,2019,,both,
auteur-ziad-doueiri,West Beirut,1998,,defining,
auteur-ziad-doueiri,The Attack,2012,,both,
auteur-ziad-doueiri,The Insult,2017,,both,
auteur-blerta-basholli,Hive,2021,,both,
auteur-mohamed-diab,Clash,2016,,both,
auteur-mohamed-diab,Amira,2021,,both,
auteur-maryam-touzani,Adam,2019,,both,
auteur-maryam-touzani,The Blue Caftan,2022,,both,
auteur-john-trengove,The Wound,2017,,both,
auteur-john-trengove,Manodrome,2023,,both,
auteur-leyla-bouzid,As I Open My Eyes,2015,,both,
auteur-leyla-bouzid,A Tale of Love and Desire,2021,,both,
auteur-karim-moussaoui,Until the Birds Return,2017,,both,
auteur-emir-baigazin,Harmony Lessons,2013,,both,
auteur-emir-baigazin,The River,2018,,both,
auteur-ash-mayfair,The Third Wife,2018,,both,
auteur-anthony-chen,Ilo Ilo,2013,,both,
auteur-anthony-chen,Wet Season,2019,,both,
auteur-anthony-chen,The Breaking Ice,2023,,both,
auteur-boo-junfeng,Sandcastle,2010,,both,
auteur-boo-junfeng,Apprentice,2016,,both,
auteur-amanda-nell-eu,Tiger Stripes,2023,,both,
auteur-kamila-andini,The Seen and Unseen,2017,,both,
auteur-kamila-andini,Yuni,2021,,both,
auteur-kamila-andini,Before Now & Then,2022,,both,
auteur-joko-anwar,Satan's Slaves,2017,,both,
auteur-joko-anwar,Impetigore,2019,,both,
auteur-cyril-schaublin,Those Who Are Fine,2017,,both,
auteur-cyril-schaublin,Unrest,2022,,both,
auteur-srdan-golubovic,The Trap,2007,,defining,
auteur-srdan-golubovic,Circles,2013,,both,
auteur-srdan-golubovic,Father,2020,,both,
auteur-dalibor-matanic,The High Sun,2015,,both,
auteur-sarunas-bartas,Frost,2017,,both,
auteur-sarunas-bartas,In the Dusk,2019,,both,
auteur-teona-strugar-mitevska,God Exists Her Name Is Petrunya,2019,,both,
auteur-teona-strugar-mitevska,The Happiest Man in the World,2022,,both,
auteur-amjad-abu-alala,You Will Die at Twenty,2019,,both,
auteur-wanuri-kahiu,Rafiki,2018,,both,
auteur-akin-omotoso,Vaya,2016,,both,
auteur-akin-omotoso,Rise,2022,,both,
