Wave,Bucket,Film_Title,Film_Director_Name,Year,Country,Why_curated
3,Canon backfill,An Autumn Afternoon,Yasujiro Ozu,1962,Japan,Ozu final; marriage/time
3,Canon backfill,The Life of Oharu,Kenji Mizoguchi,1952,Japan,Woman's suffering; Mizoguchi
3,Canon backfill,Kwaidan,Masaki Kobayashi,1964,Japan,Ghost-story form; color
3,Canon backfill,Onibaba,Kaneto Shindo,1964,Japan,Folk-horror/sexuality
3,Canon backfill,Yi Yi,Edward Yang,2000,Taiwan,Taiwanese New Wave (major gap)
3,Canon backfill,A Brighter Summer Day,Edward Yang,1991,Taiwan,Youth/history epic; canon
3,Canon backfill,Days of Being Wild,Wong Kar-wai,1990,Hong Kong,WKW hub; time/longing
3,Canon backfill,Happy Together,Wong Kar-wai,1997,Hong Kong,WKW; queer/diaspora
3,Canon backfill,Fallen Angels,Wong Kar-wai,1995,Hong Kong,WKW; night-city form
3,Canon backfill,2046,Wong Kar-wai,2004,Hong Kong,WKW; memory/SF
3,Canon backfill,The Assassin,Hou Hsiao-hsien,2015,Taiwan,Hou (City of Sadness in); wuxia/form
3,Canon backfill,Flowers of Shanghai,Hou Hsiao-hsien,1998,Taiwan,Hou; interior/ritual
3,Canon backfill,To Live,Zhang Yimou,1994,China,Zhang (Red Lantern in); history/survival
3,Canon backfill,Ju Dou,Zhang Yimou,1990,China,Zhang; color/transgression
3,Canon backfill,Platform,Jia Zhangke,2000,China,Jia (3 in); reform-era epic
3,Canon backfill,Aparajito,Satyajit Ray,1956,India,Apu trilogy; Ray
3,Canon backfill,The World of Apu,Satyajit Ray,1959,India,Apu trilogy; Ray
3,Canon backfill,The Music Room,Satyajit Ray,1958,India,Ray; decline/music
3,Canon backfill,Touki Bouki,Djibril Diop Mambety,1973,Senegal,African canon (major gap); Diop lineage
3,Canon backfill,Black Girl,Ousmane Sembene,1966,Senegal,Postcolonial canon; Sembene
3,Canon backfill,Xala,Ousmane Sembene,1975,Senegal,Postcolonial satire
3,Canon backfill,Yeelen,Souleymane Cisse,1987,Mali,African myth canon
3,Canon backfill,Memories of Underdevelopment,Tomas Gutierrez Alea,1968,Cuba,Revolution/intellectual; canon
3,Canon backfill,"Black God, White Devil",Glauber Rocha,1964,Brazil,Cinema Novo canon
3,Canon backfill,The Official Story,Luis Puenzo,1985,Argentina,Dictatorship/memory; Oscar
3,Canon backfill,Pixote,Hector Babenco,1981,Brazil,Street children; realism
3,Canon backfill,Sweet Smell of Success,Alexander Mackendrick,1957,USA,Media/power; noir canon
3,Canon backfill,Out of the Past,Jacques Tourneur,1947,USA,Noir template
3,Canon backfill,The Lady from Shanghai,Orson Welles,1947,USA,Welles; mirror/noir
3,Contemporary curation,"Like Father, Like Son",Hirokazu Kore-eda,2013,Japan,Kore-eda; nature/nurture
3,Contemporary curation,Our Little Sister,Hirokazu Kore-eda,2015,Japan,Kore-eda; sisters/seasons
3,Contemporary curation,A Hidden Life,Terrence Malick,2019,USA,Malick hub; conscience/faith
3,Contemporary curation,The Father,Florian Zeller,2020,UK,Dementia/form; performance
3,Contemporary curation,Sound of Metal,Darius Marder,2019,USA,Deafness/sound; Chion-adjacent
3,Contemporary curation,Women Talking,Sarah Polley,2022,USA,Faith/feminism; talk-cinema
3,Contemporary curation,Pieces of a Woman,Kornel Mundruczo,2020,USA,Grief/long-take birth
3,Contemporary curation,His House,Remi Weekes,2020,UK,Refugee horror; allegory
3,Contemporary curation,The Wonder,Sebastian Lelio,2022,Ireland/UK,Lelio (Gloria in); faith/body
3,Contemporary curation,Athena,Romain Gavras,2022,France,Banlieue/long-take; politics
3,Contemporary curation,"Quo Vadis, Aida?",Jasmila Zbanic,2020,Bosnia,Srebrenica; witness
3,Contemporary curation,Holy Spider,Ali Abbasi,2022,Iran/Denmark,Abbasi (Border in); gender/violence
3,Contemporary curation,The Apprentice,Ali Abbasi,2024,USA,Abbasi; power/myth
3,Contemporary curation,No Bears,Jafar Panahi,2022,Iran,Panahi; image/border
3,Contemporary curation,Four Daughters,Kaouther Ben Hania,2023,Tunisia,Doc-hybrid; performance/memory
3,Contemporary curation,Dahomey,Mati Diop,2024,France/Senegal,Berlinale 2024 Golden Bear; Diop (Atlantics in)
3,Contemporary curation,The Blue Caftan,Maryam Touzani,2022,Morocco,Queer/craft; Maghreb
3,Contemporary curation,An Elephant Sitting Still,Hu Bo,2018,China,Despair epic; slow cinema
3,Contemporary curation,Long Day's Journey Into Night,Bi Gan,2018,China,Bi Gan (Cannes 2025); 3D long-take dream
3,Contemporary curation,"So Long, My Son",Wang Xiaoshuai,2019,China,One-child policy; epic melodrama
3,Contemporary curation,The Wild Goose Lake,Diao Yinan,2019,China,Neo-noir; neon/crime
3,Contemporary curation,A Sun,Chung Mong-hong,2019,Taiwan,Family/guilt; Taiwanese
3,Contemporary curation,Columbus,Kogonada,2017,USA,Architecture/grief; form
3,Contemporary curation,After Yang,Kogonada,2021,USA,AI/memory/family; Kogonada
3,Contemporary curation,20th Century Women,Mike Mills,2016,USA,Mills; feminism/era
3,Contemporary curation,C'mon C'mon,Mike Mills,2021,USA,Mills; care/listening
3,Contemporary curation,Vortex,Gaspar Noe,2021,France,Split-screen; aging/death
3,Contemporary curation,Climax,Gaspar Noe,2018,France,Body/dance/dread
3,Contemporary curation,Enter the Void,Gaspar Noe,2009,France,POV/afterlife; form
3,Contemporary curation,Robot Dreams,Pablo Berger,2023,Spain,Animation; friendship/loss; no dialogue
3,Contemporary curation,Memoir of a Snail,Adam Elliot,2024,Australia,Claymation; melancholy
3,Contemporary curation,A Different Man,Aaron Schimberg,2024,USA,Face/identity; A24
3,Contemporary curation,Janet Planet,Annie Baker,2023,USA,Childhood/time; playwright-film
3,Contemporary curation,Do Not Expect Too Much from the End of the World,Radu Jude,2023,Romania,Labor/media satire; form
3,Contemporary curation,Passages,Ira Sachs,2023,France,Desire/triangle; Sachs
3,Contemporary curation,Totem,Lila Aviles,2023,Mexico,Child-POV; family/death
3,Contemporary curation,The Teachers' Lounge,Ilker Catak,2023,Germany,Institution/paranoia; Oscar nom
3,Contemporary curation,Society of the Snow,J.A. Bayona,2023,Spain,Survival/ethics; Oscar nom
3,Contemporary curation,How to Have Sex,Molly Manning Walker,2023,UK,Consent/youth; Cannes UCR
3,Contemporary curation,The Settlers,Felipe Galvez,2023,Chile,Colonial violence; Western
3,Contemporary curation,Living,Oliver Hermanus,2022,UK,Ikiru remake; mortality/bureaucracy
3,Contemporary curation,Nope,Jordan Peele,2022,USA,Peele hub (Get Out/Us in); spectacle/gaze
3,Contemporary curation,All Dirt Roads Taste of Salt,Raven Jackson,2023,USA,Memory/Black-Southern; form
3,Contemporary curation,Cairo Conspiracy,Tarik Saleh,2022,Sweden/Egypt,Institution/faith thriller
3,Popular/genre depth,The Thin Blue Line,Errol Morris,1988,USA,Doc; truth/reenactment
3,Popular/genre depth,F for Fake,Orson Welles,1973,France/Iran,Essay-film; authorship/fakery
3,Popular/genre depth,O.J.: Made in America,Ezra Edelman,2016,USA,Doc; race/celebrity/media
3,Popular/genre depth,Stories We Tell,Sarah Polley,2012,Canada,Doc; memory/family/truth
3,Popular/genre depth,Free Solo,Elizabeth Chai Vasarhelyi,2018,USA,Doc; risk/body; high search
3,Popular/genre depth,Monty Python and the Holy Grail,Terry Gilliam,1975,UK,Gilliam is in; parody/form
3,Popular/genre depth,Life of Brian,Terry Jones,1979,UK,Satire/religion; high search
3,Popular/genre depth,Shaun of the Dead,Edgar Wright,2004,UK,Wright is a hub; genre-parody
3,Popular/genre depth,Borat,Larry Charles,2006,USA,Satire/performance; ideology
3,Popular/genre depth,The Blues Brothers,John Landis,1980,USA,Landis is in; music/Americana
3,Popular/genre depth,Hero,Zhang Yimou,2002,China,Wuxia spectacle; ideology debate; high search
3,Popular/genre depth,House of Flying Daggers,Zhang Yimou,2004,China,Wuxia; color/romance
3,Popular/genre depth,Hard Boiled,John Woo,1992,Hong Kong,Woo (Face/Off in); gun-fu canon
3,Popular/genre depth,The Killer,John Woo,1989,Hong Kong,Woo; heroic-bloodshed canon
3,Popular/genre depth,Enter the Dragon,Robert Clouse,1973,Hong Kong/USA,Bruce Lee; martial-arts icon; high search
3,Popular/genre depth,Ip Man,Wilson Yip,2008,Hong Kong,Martial-arts franchise; nationalism
3,Popular/genre depth,Police Story,Jackie Chan,1985,Hong Kong,Chan stunt-canon; high search
3,Popular/genre depth,Stand by Me,Rob Reiner,1986,USA,Reiner (5 in); coming-of-age; high search
3,Popular/genre depth,Labyrinth,Jim Henson,1986,UK/USA,Cult fantasy; high search
3,Popular/genre depth,The NeverEnding Story,Wolfgang Petersen,1984,Germany,Fantasy; childhood/story
3,Popular/genre depth,Willy Wonka & the Chocolate Factory,Mel Stuart,1971,USA,Cult; morality fable; high search
3,Popular/genre depth,Young Frankenstein,Mel Brooks,1974,USA,Parody canon; Brooks
3,Popular/genre depth,Blazing Saddles,Mel Brooks,1974,USA,Satire/race; Brooks
3,Popular/genre depth,Time Bandits,Terry Gilliam,1981,UK,Gilliam hub; history/fantasy
3,Popular/genre depth,A Silent Voice,Naoko Yamada,2016,Japan,Anime; disability/bullying; high search
3,Popular/genre depth,Weathering with You,Makoto Shinkai,2019,Japan,Shinkai (Your Name in); climate/teen
3,Popular/genre depth,Suzume,Makoto Shinkai,2022,Japan,Shinkai; disaster/grief
3,Popular/genre depth,Wolf Children,Mamoru Hosoda,2012,Japan,Hosoda; motherhood/folklore
3,Popular/genre depth,Belle,Mamoru Hosoda,2021,Japan,Hosoda; virtual/identity
3,Popular/genre depth,The Wild Robot,Chris Sanders,2024,USA,Animation; nature/care; 2024 hit
3,Popular/genre depth,Inside Out 2,Kelsey Mann,2024,USA,Pixar; emotion/adolescence; huge box office
3,Popular/genre depth,Man on Wire,James Marsh,2008,UK,Doc; high search; risk/art
3,Popular/genre depth,Searching for Sugar Man,Malik Bendjelloul,2012,Sweden/UK,Doc; myth/music
3,Popular/genre depth,Senna,Asif Kapadia,2010,UK,Doc; sport/icon
3,Popular/genre depth,Citizenfour,Laura Poitras,2014,USA,Doc; surveillance/Snowden
3,Popular/genre depth,Summer of Soul,Questlove,2021,USA,Doc; music/erasure/archive
